,Validation_MAE,Validation_R2,Test_MAE,Test_R2
Group_0,23.525355000689185,-6.093823519288861,26.253545865246846,-6.861024179863749
Group_1,17.17236327695711,-0.4427423964249566,14.508345626013877,-0.07051213364371245
Group_2,15.947843106862658,-0.2334563042231219,17.26392719494534,-0.2154162280430445
Group_3,11.079710682719337,0.005243468785460448,10.89475876814516,-1.9478462975750896
Group_4,14.706984285244802,-0.24616825192104352,17.640459050639965,-0.3583971578294718
Group_5,17.056441832549393,-0.18784550800376287,16.61521834033363,-0.1643825589478165
All_Groups,15.471595487260407,-0.07788813461984034,15.819199396897423,-0.09081405843082435
