,Validation_MAE,Validation_R2,Test_MAE,Test_R2
Group_0,5.8229765411907835,-0.8335274627997267,5.54616412503876,-0.39441798919406357
Group_1,10.439928276420675,-0.32071174403039526,12.785087818409714,-0.8487340004779877
Group_2,12.783515341616559,-1.1242760158820237,10.580941168064355,-0.17667120284681959
Group_3,10.751736231736816,-0.5902161848420624,10.633768764013297,-3.380537308141431
Group_4,9.258169577676366,-0.28709157163422105,11.479808254605471,-0.600047717024677
Group_5,9.678268316989088,-0.16510382387415157,10.38488999954864,-0.26423009512957285
All_Groups,10.398651094907924,-0.33962263771368817,11.686272903077949,-0.45653118993656805
