,Validation_MAE,Validation_R2,Test_MAE,Test_R2
Group_0,21.73743276914303,-4.621022294325058,27.35289580259256,-7.528127112807104
Group_1,16.406999365047575,-0.23173486376225028,14.534921915763704,-0.13523374704741897
Group_2,17.158970016878094,-0.31757088656800825,15.713212039775811,-0.06275201747088444
Group_3,10.099920514262092,0.15002049807985685,15.614336574468092,-5.346533809735158
Group_4,14.047971474746532,-0.20778977819005373,15.918053494143912,-0.11300351884758864
Group_5,17.063262532137117,-0.21981304434755744,17.956674728728146,-0.33881740815370587
All_Groups,15.535594878141586,-0.11987294392857595,16.08186273415815,-0.13627302443510536
