,Validation_MAE,Validation_R2,Test_MAE,Test_R2
Group_3,14.545806612435381,-0.06639736924390749,13.123711398251867,0.1472470287829899
Group_4,15.483880252915458,-0.1591486925950003,15.635003970539247,-0.14342641259351874
Group_5,16.538470257918366,-0.18530366800148035,18.08263546852244,-0.3099197076052007
All_Groups,15.535594878141586,-0.11987294392857595,16.08186273415815,-0.13627302443510536
