,Validation_MAE,Validation_R2,Test_MAE,Test_R2
Group_0,8.49583267891544,-3.1818424786704007,8.771905191797408,-1.8329271749836815
Group_1,11.553095263526586,-0.5442889011810303,11.141436764331237,-0.5299574607897044
Group_2,11.73683270254863,-0.6853991705006679,12.778627925786855,-0.5857129157795453
Group_3,9.542281453655855,-0.4371595514334068,12.406937593515456,-4.264877865410428
Group_4,8.47951274869533,-0.063632240029311,12.88474415395777,-0.8971950666738173
Group_5,9.857065550902426,-0.12240685733007761,9.754045875215581,-0.18782023465806907
All_Groups,9.913761063753766,-0.16651896936944177,10.233570866137914,-0.17632781963242206
